quarantine_id,order_id,source_batch,reason_code,raw_data,quarantined_at
11,O000097,1,invalid_order_datetime,"{""order_id"":""O000097"",""order_datetime"":""31\/02\/2026 10:00"",""customer_id"":""C0110"",""product_id"":""P040"",""quantity"":5,""unit_price"":1472.44,""discount_pct"":0,""payment_method"":""Bank Transfer"",""sales_channel"":""Online"",""updated_at"":""2026-03-03 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
12,O000101,1,invalid_discount_pct,"{""order_id"":""O000101"",""order_datetime"":""2026-02-28 22:40:00"",""customer_id"":""C0151"",""product_id"":""P029"",""quantity"":3,""unit_price"":450.41,""discount_pct"":120,""payment_method"":""Credit Card"",""sales_channel"":""Store"",""updated_at"":""2026-03-01 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
13,O000058,1,inactive_product,"{""order_id"":""O000058"",""order_datetime"":""2026-02-27 23:57:00"",""customer_id"":""C0069"",""product_id"":""P034"",""quantity"":5,""unit_price"":530.09,""discount_pct"":0,""payment_method"":""Bank Transfer"",""sales_channel"":""Store"",""updated_at"":""2026-02-28 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
14,O000376,1,inactive_product,"{""order_id"":""O000376"",""order_datetime"":""2026-02-27 12:55:00"",""customer_id"":""C0081"",""product_id"":""P034"",""quantity"":3,""unit_price"":530.09,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Store"",""updated_at"":""2026-02-28 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
15,O000342,1,inactive_product,"{""order_id"":""O000342"",""order_datetime"":""2026-02-24 10:13:00"",""customer_id"":""C0156"",""product_id"":""P034"",""quantity"":1,""unit_price"":530.09,""discount_pct"":15,""payment_method"":""Cash"",""sales_channel"":""Store"",""updated_at"":""2026-02-25 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
16,O000393,1,invalid_order_datetime,"{""order_id"":""O000393"",""order_datetime"":""not-a-date"",""customer_id"":""C0148"",""product_id"":""P037"",""quantity"":5,""unit_price"":185.91,""discount_pct"":10,""payment_method"":""Bank Transfer"",""sales_channel"":""Online"",""updated_at"":""2026-02-25 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
17,O000332,1,inactive_product;missing_customer_id,"{""order_id"":""O000332"",""order_datetime"":""2026-02-18 19:38:00"",""customer_id"":null,""product_id"":""P017"",""quantity"":4,""unit_price"":1281.37,""discount_pct"":0,""payment_method"":""Bank Transfer"",""sales_channel"":""Marketplace"",""updated_at"":""2026-02-19 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
18,O000178,1,invalid_quantity,"{""order_id"":""O000178"",""order_datetime"":""2026-02-16 01:47:00"",""customer_id"":""C0061"",""product_id"":""P026"",""quantity"":-2,""unit_price"":1185.43,""discount_pct"":0,""payment_method"":""PromptPay"",""sales_channel"":""Marketplace"",""updated_at"":""2026-02-17 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
19,O000131,1,invalid_order_datetime,"{""order_id"":""O000131"",""order_datetime"":""not-a-date"",""customer_id"":""C0152"",""product_id"":""P037"",""quantity"":1,""unit_price"":185.91,""discount_pct"":5,""payment_method"":""Bank Transfer"",""sales_channel"":""Marketplace"",""updated_at"":""2026-02-17 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
20,O000075,1,inactive_product,"{""order_id"":""O000075"",""order_datetime"":""2026-02-12 07:26:00"",""customer_id"":""C0016"",""product_id"":""P034"",""quantity"":2,""unit_price"":530.09,""discount_pct"":5,""payment_method"":""Cash"",""sales_channel"":""Marketplace"",""updated_at"":""2026-02-13 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
21,O000371,1,inactive_product,"{""order_id"":""O000371"",""order_datetime"":""2026-02-09 02:38:00"",""customer_id"":""C0098"",""product_id"":""P034"",""quantity"":4,""unit_price"":530.09,""discount_pct"":10,""payment_method"":""Cash"",""sales_channel"":""Marketplace"",""updated_at"":""2026-02-10 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
22,O000417,1,invalid_unit_price,"{""order_id"":""O000417"",""order_datetime"":""2026-02-09 22:58:00"",""customer_id"":""C0021"",""product_id"":""P011"",""quantity"":3,""unit_price"":null,""discount_pct"":0,""payment_method"":""Bank Transfer"",""sales_channel"":""Marketplace"",""updated_at"":""2026-02-10 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
23,O000249,1,missing_customer_id,"{""order_id"":""O000249"",""order_datetime"":""2026-02-07 21:50:00"",""customer_id"":null,""product_id"":""P025"",""quantity"":5,""unit_price"":833.67,""discount_pct"":15,""payment_method"":""Credit Card"",""sales_channel"":""Online"",""updated_at"":""2026-02-08 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
24,O000083,1,missing_customer_id,"{""order_id"":""O000083"",""order_datetime"":""2026-02-05 11:37:00"",""customer_id"":null,""product_id"":""P039"",""quantity"":4,""unit_price"":688.83,""discount_pct"":5,""payment_method"":""Cash"",""sales_channel"":""Online"",""updated_at"":""2026-02-06 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
25,O000139,1,invalid_unit_price,"{""order_id"":""O000139"",""order_datetime"":""2026-02-03 21:12:00"",""customer_id"":""C0072"",""product_id"":""P039"",""quantity"":4,""unit_price"":null,""discount_pct"":5,""payment_method"":""Cash"",""sales_channel"":""Online"",""updated_at"":""2026-02-04 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
26,O000262,1,invalid_order_datetime,"{""order_id"":""O000262"",""order_datetime"":""not-a-date"",""customer_id"":""C0097"",""product_id"":""P044"",""quantity"":5,""unit_price"":766,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Store"",""updated_at"":""2026-02-03 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
27,O000027,1,inactive_product,"{""order_id"":""O000027"",""order_datetime"":""2026-02-02 18:54:00"",""customer_id"":""C0158"",""product_id"":""P017"",""quantity"":4,""unit_price"":1281.37,""discount_pct"":10,""payment_method"":""Cash"",""sales_channel"":""Online"",""updated_at"":""2026-02-03 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
28,O000278,1,invalid_unit_price,"{""order_id"":""O000278"",""order_datetime"":""2026-02-01 02:14:00"",""customer_id"":""C0022"",""product_id"":""P035"",""quantity"":4,""unit_price"":null,""discount_pct"":0,""payment_method"":""PromptPay"",""sales_channel"":""Marketplace"",""updated_at"":""2026-02-02 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
29,O000404,1,invalid_discount_pct,"{""order_id"":""O000404"",""order_datetime"":""2026-01-30 04:14:00"",""customer_id"":""C0163"",""product_id"":""P016"",""quantity"":5,""unit_price"":878.59,""discount_pct"":120,""payment_method"":""Credit Card"",""sales_channel"":""Store"",""updated_at"":""2026-01-31 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
30,O000111,1,inactive_product,"{""order_id"":""O000111"",""order_datetime"":""2026-01-26 19:08:00"",""customer_id"":""C0064"",""product_id"":""P034"",""quantity"":2,""unit_price"":530.09,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Online"",""updated_at"":""2026-01-27 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
31,O000388,1,invalid_order_datetime,"{""order_id"":""O000388"",""order_datetime"":""31\/02\/2026 10:00"",""customer_id"":""C0086"",""product_id"":""P027"",""quantity"":1,""unit_price"":817.79,""discount_pct"":15,""payment_method"":""Bank Transfer"",""sales_channel"":""Marketplace"",""updated_at"":""2026-01-25 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
32,O000356,1,invalid_quantity,"{""order_id"":""O000356"",""order_datetime"":""2026-01-19 11:29:00"",""customer_id"":""C0146"",""product_id"":""P042"",""quantity"":-2,""unit_price"":733.19,""discount_pct"":0,""payment_method"":""Bank Transfer"",""sales_channel"":""Store"",""updated_at"":""2026-01-20 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
33,O000166,1,missing_customer_id,"{""order_id"":""O000166"",""order_datetime"":""2026-01-18 04:01:00"",""customer_id"":null,""product_id"":""P027"",""quantity"":4,""unit_price"":817.79,""discount_pct"":10,""payment_method"":""PromptPay"",""sales_channel"":""Online"",""updated_at"":""2026-01-19 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
34,O000202,1,invalid_discount_pct,"{""order_id"":""O000202"",""order_datetime"":""2026-01-15 10:38:00"",""customer_id"":""C0161"",""product_id"":""P031"",""quantity"":3,""unit_price"":599.9,""discount_pct"":120,""payment_method"":""Credit Card"",""sales_channel"":""Online"",""updated_at"":""2026-01-16 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
35,O000298,1,customer_not_found,"{""order_id"":""O000298"",""order_datetime"":""2026-01-14 00:46:00"",""customer_id"":""C9999"",""product_id"":""P037"",""quantity"":2,""unit_price"":185.91,""discount_pct"":10,""payment_method"":""Bank Transfer"",""sales_channel"":""Store"",""updated_at"":""2026-01-15 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
36,O000321,1,product_not_found,"{""order_id"":""O000321"",""order_datetime"":""2026-01-12 07:42:00"",""customer_id"":""C0073"",""product_id"":""P999"",""quantity"":5,""unit_price"":624.66,""discount_pct"":10,""payment_method"":""Bank Transfer"",""sales_channel"":""Online"",""updated_at"":""2026-01-13 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
37,O000415,1,missing_customer_id,"{""order_id"":""O000415"",""order_datetime"":""2026-01-12 21:48:00"",""customer_id"":null,""product_id"":""P030"",""quantity"":1,""unit_price"":915.53,""discount_pct"":10,""payment_method"":""Credit Card"",""sales_channel"":""Marketplace"",""updated_at"":""2026-01-13 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
38,O000149,1,customer_not_found,"{""order_id"":""O000149"",""order_datetime"":""2026-01-08 12:33:00"",""customer_id"":""C9999"",""product_id"":""P039"",""quantity"":4,""unit_price"":688.83,""discount_pct"":10,""payment_method"":""PromptPay"",""sales_channel"":""Marketplace"",""updated_at"":""2026-01-09 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
39,O000284,1,inactive_product,"{""order_id"":""O000284"",""order_datetime"":""2026-01-05 17:05:00"",""customer_id"":""C0110"",""product_id"":""P017"",""quantity"":3,""unit_price"":1281.37,""discount_pct"":10,""payment_method"":""Cash"",""sales_channel"":""Online"",""updated_at"":""2026-01-06 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
40,O000291,1,invalid_order_datetime,"{""order_id"":""O000291"",""order_datetime"":""31\/02\/2026 10:00"",""customer_id"":""C0165"",""product_id"":""P041"",""quantity"":2,""unit_price"":1291.92,""discount_pct"":0,""payment_method"":""Cash"",""sales_channel"":""Online"",""updated_at"":""2026-01-06 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
41,O000214,1,product_not_found,"{""order_id"":""O000214"",""order_datetime"":""2026-01-04 07:12:00"",""customer_id"":""C0043"",""product_id"":""P999"",""quantity"":6,""unit_price"":1451.77,""discount_pct"":0,""payment_method"":""PromptPay"",""sales_channel"":""Store"",""updated_at"":""2026-01-05 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
42,O000113,1,invalid_quantity,"{""order_id"":""O000113"",""order_datetime"":""2026-01-03 03:35:00"",""customer_id"":""C0039"",""product_id"":""P011"",""quantity"":""three"",""unit_price"":616.6,""discount_pct"":0,""payment_method"":""PromptPay"",""sales_channel"":""Marketplace"",""updated_at"":""2026-01-04 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
43,O000267,1,invalid_quantity,"{""order_id"":""O000267"",""order_datetime"":""2026-01-02 16:42:00"",""customer_id"":""C0095"",""product_id"":""P042"",""quantity"":-2,""unit_price"":733.19,""discount_pct"":0,""payment_method"":""PromptPay"",""sales_channel"":""Marketplace"",""updated_at"":""2026-01-03 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
44,O000318,1,inactive_product,"{""order_id"":""O000318"",""order_datetime"":""2026-01-02 00:14:00"",""customer_id"":""C0134"",""product_id"":""P017"",""quantity"":5,""unit_price"":1281.37,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Store"",""updated_at"":""2026-01-03 23:59:00"",""source_batch"":1}",2026-08-18T08:47:26.168644+00:00
89,O000485,2,invalid_order_datetime,"{""order_id"":""O000485"",""order_datetime"":""31\/02\/2026 10:00"",""customer_id"":""C0077"",""product_id"":""P010"",""quantity"":4,""unit_price"":1366.97,""discount_pct"":5,""payment_method"":""Bank Transfer"",""sales_channel"":""Online"",""updated_at"":""2026-05-05 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
90,O000740,2,inactive_product,"{""order_id"":""O000740"",""order_datetime"":""2026-05-01 10:35:00"",""customer_id"":""C0133"",""product_id"":""P017"",""quantity"":3,""unit_price"":1281.37,""discount_pct"":15,""payment_method"":""Bank Transfer"",""sales_channel"":""Store"",""updated_at"":""2026-05-03 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
91,O000498,2,missing_customer_id,"{""order_id"":""O000498"",""order_datetime"":""2026-04-30 23:16:00"",""customer_id"":null,""product_id"":""P035"",""quantity"":3,""unit_price"":997.99,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Marketplace"",""updated_at"":""2026-05-02 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
92,O000834,2,invalid_unit_price,"{""order_id"":""O000834"",""order_datetime"":""2026-04-30 17:12:00"",""customer_id"":""C0058"",""product_id"":""P032"",""quantity"":3,""unit_price"":null,""discount_pct"":10,""payment_method"":""Cash"",""sales_channel"":""Online"",""updated_at"":""2026-05-02 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
93,O000824,2,inactive_product,"{""order_id"":""O000824"",""order_datetime"":""2026-04-27 14:46:00"",""customer_id"":""C0022"",""product_id"":""P017"",""quantity"":1,""unit_price"":1281.37,""discount_pct"":15,""payment_method"":""PromptPay"",""sales_channel"":""Marketplace"",""updated_at"":""2026-04-29 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
94,O000776,2,invalid_order_datetime,"{""order_id"":""O000776"",""order_datetime"":""31\/02\/2026 10:00"",""customer_id"":""C0120"",""product_id"":""P047"",""quantity"":2,""unit_price"":613.02,""discount_pct"":0,""payment_method"":""Cash"",""sales_channel"":""Online"",""updated_at"":""2026-04-29 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
95,O000472,2,inactive_product,"{""order_id"":""O000472"",""order_datetime"":""2026-04-26 10:44:00"",""customer_id"":""C0067"",""product_id"":""P034"",""quantity"":6,""unit_price"":530.09,""discount_pct"":10,""payment_method"":""Bank Transfer"",""sales_channel"":""Online"",""updated_at"":""2026-04-28 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
96,O000599,2,inactive_product,"{""order_id"":""O000599"",""order_datetime"":""2026-04-25 16:12:00"",""customer_id"":""C0138"",""product_id"":""P017"",""quantity"":1,""unit_price"":1281.37,""discount_pct"":0,""payment_method"":""PromptPay"",""sales_channel"":""Store"",""updated_at"":""2026-04-27 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
97,O000552,2,inactive_product,"{""order_id"":""O000552"",""order_datetime"":""2026-04-24 15:03:00"",""customer_id"":""C0038"",""product_id"":""P034"",""quantity"":1,""unit_price"":530.09,""discount_pct"":10,""payment_method"":""PromptPay"",""sales_channel"":""Online"",""updated_at"":""2026-04-26 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
98,O000581,2,missing_customer_id,"{""order_id"":""O000581"",""order_datetime"":""2026-04-23 12:25:00"",""customer_id"":null,""product_id"":""P010"",""quantity"":3,""unit_price"":1366.97,""discount_pct"":15,""payment_method"":""Credit Card"",""sales_channel"":""Online"",""updated_at"":""2026-04-25 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
99,O000499,2,inactive_product,"{""order_id"":""O000499"",""order_datetime"":""2026-04-22 07:50:00"",""customer_id"":""C0072"",""product_id"":""P034"",""quantity"":1,""unit_price"":530.09,""discount_pct"":15,""payment_method"":""Cash"",""sales_channel"":""Marketplace"",""updated_at"":""2026-04-24 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
100,O000655,2,invalid_order_datetime,"{""order_id"":""O000655"",""order_datetime"":""not-a-date"",""customer_id"":""C0147"",""product_id"":""P037"",""quantity"":3,""unit_price"":185.91,""discount_pct"":0,""payment_method"":""Bank Transfer"",""sales_channel"":""Online"",""updated_at"":""2026-04-24 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
101,O000556,2,invalid_unit_price,"{""order_id"":""O000556"",""order_datetime"":""2026-04-21 06:20:00"",""customer_id"":""C0177"",""product_id"":""P001"",""quantity"":6,""unit_price"":null,""discount_pct"":0,""payment_method"":""PromptPay"",""sales_channel"":""Store"",""updated_at"":""2026-04-23 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
102,O000582,2,invalid_order_datetime,"{""order_id"":""O000582"",""order_datetime"":""31\/02\/2026 10:00"",""customer_id"":""C0140"",""product_id"":""P009"",""quantity"":4,""unit_price"":192.56,""discount_pct"":0,""payment_method"":""PromptPay"",""sales_channel"":""Online"",""updated_at"":""2026-04-22 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
103,O000749,2,product_not_found,"{""order_id"":""O000749"",""order_datetime"":""2026-04-18 13:19:00"",""customer_id"":""C0180"",""product_id"":""P999"",""quantity"":1,""unit_price"":204.81,""discount_pct"":0,""payment_method"":""Cash"",""sales_channel"":""Online"",""updated_at"":""2026-04-20 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
104,O000535,2,product_not_found,"{""order_id"":""O000535"",""order_datetime"":""2026-04-17 04:13:00"",""customer_id"":""C0100"",""product_id"":""P999"",""quantity"":5,""unit_price"":649.9,""discount_pct"":15,""payment_method"":""Bank Transfer"",""sales_channel"":""Store"",""updated_at"":""2026-04-19 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
105,O000565,2,invalid_quantity,"{""order_id"":""O000565"",""order_datetime"":""2026-04-14 04:24:00"",""customer_id"":""C0009"",""product_id"":""P033"",""quantity"":""three"",""unit_price"":654.4,""discount_pct"":5,""payment_method"":""Cash"",""sales_channel"":""Marketplace"",""updated_at"":""2026-04-16 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
106,O000491,2,inactive_product,"{""order_id"":""O000491"",""order_datetime"":""2026-04-13 19:01:00"",""customer_id"":""C0050"",""product_id"":""P034"",""quantity"":4,""unit_price"":530.09,""discount_pct"":0,""payment_method"":""Bank Transfer"",""sales_channel"":""Online"",""updated_at"":""2026-04-15 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
107,O000664,2,missing_customer_id,"{""order_id"":""O000664"",""order_datetime"":""2026-04-11 00:34:00"",""customer_id"":null,""product_id"":""P004"",""quantity"":3,""unit_price"":1451.77,""discount_pct"":15,""payment_method"":""Bank Transfer"",""sales_channel"":""Store"",""updated_at"":""2026-04-13 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
108,O000791,2,invalid_quantity,"{""order_id"":""O000791"",""order_datetime"":""2026-04-11 13:31:00"",""customer_id"":""C0058"",""product_id"":""P040"",""quantity"":""three"",""unit_price"":1472.44,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Store"",""updated_at"":""2026-04-13 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
109,O000656,2,inactive_product,"{""order_id"":""O000656"",""order_datetime"":""2026-04-10 01:48:00"",""customer_id"":""C0174"",""product_id"":""P034"",""quantity"":1,""unit_price"":530.09,""discount_pct"":5,""payment_method"":""Bank Transfer"",""sales_channel"":""Marketplace"",""updated_at"":""2026-04-12 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
110,O000542,2,inactive_product,"{""order_id"":""O000542"",""order_datetime"":""2026-04-10 14:43:00"",""customer_id"":""C0137"",""product_id"":""P034"",""quantity"":6,""unit_price"":530.09,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Online"",""updated_at"":""2026-04-12 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
111,O000830,2,missing_customer_id,"{""order_id"":""O000830"",""order_datetime"":""2026-04-08 01:48:00"",""customer_id"":null,""product_id"":""P009"",""quantity"":1,""unit_price"":192.56,""discount_pct"":0,""payment_method"":""Bank Transfer"",""sales_channel"":""Online"",""updated_at"":""2026-04-10 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
112,O000786,2,invalid_order_datetime,"{""order_id"":""O000786"",""order_datetime"":""not-a-date"",""customer_id"":""C0044"",""product_id"":""P008"",""quantity"":6,""unit_price"":292.37,""discount_pct"":5,""payment_method"":""Cash"",""sales_channel"":""Marketplace"",""updated_at"":""2026-04-09 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
113,O000747,2,missing_customer_id,"{""order_id"":""O000747"",""order_datetime"":""2026-04-07 20:13:00"",""customer_id"":null,""product_id"":""P014"",""quantity"":1,""unit_price"":358.74,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Store"",""updated_at"":""2026-04-09 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
114,O000695,2,inactive_product;invalid_unit_price,"{""order_id"":""O000695"",""order_datetime"":""2026-04-06 11:55:00"",""customer_id"":""C0119"",""product_id"":""P017"",""quantity"":3,""unit_price"":null,""discount_pct"":15,""payment_method"":""Cash"",""sales_channel"":""Marketplace"",""updated_at"":""2026-04-08 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
115,O000801,2,invalid_quantity,"{""order_id"":""O000801"",""order_datetime"":""2026-04-05 07:59:00"",""customer_id"":""C0030"",""product_id"":""P044"",""quantity"":-2,""unit_price"":766,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Marketplace"",""updated_at"":""2026-04-07 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
116,O000452,2,invalid_quantity,"{""order_id"":""O000452"",""order_datetime"":""2026-04-05 15:06:00"",""customer_id"":""C0126"",""product_id"":""P036"",""quantity"":""three"",""unit_price"":220.86,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Store"",""updated_at"":""2026-04-07 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
117,O000428,2,product_not_found,"{""order_id"":""O000428"",""order_datetime"":""2026-04-04 13:52:00"",""customer_id"":""C0150"",""product_id"":""P999"",""quantity"":4,""unit_price"":450.41,""discount_pct"":15,""payment_method"":""PromptPay"",""sales_channel"":""Marketplace"",""updated_at"":""2026-04-06 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
118,O000805,2,inactive_product,"{""order_id"":""O000805"",""order_datetime"":""2026-04-04 12:58:00"",""customer_id"":""C0171"",""product_id"":""P034"",""quantity"":6,""unit_price"":530.09,""discount_pct"":0,""payment_method"":""Credit Card"",""sales_channel"":""Store"",""updated_at"":""2026-04-06 23:59:00"",""source_batch"":2}",2026-08-18T08:47:26.799532+00:00
